"시도별","산업별",2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018
"시도별","산업별",기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원)
"광주광역시","항공 운송업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"광주광역시","창고 및 운송관련 서비스업",617,2330,35859,815,289813,154975,195567,555045,471,1398,26971,6,292342,174321,174082,492877,492,2048,34044,7,358345,207748,219534,641874,545,2881,44497,116,152082,124723,112809,521623,511,1641,22230,117,117095,86332,74060,493533,516,1637,18536,16,93106,72583,60041,537774,509,1541,21670,17,105920,89856,60802,516235,498,1934,33668,29,132618,112499,78761,423225,476,1727,32429,37,150403,119541,88874,538944,467,1848,44089,49,209302,169874,123388,686270,438,1672,37174,34,213076,150095,124371,755869
"대전광역시","육상운송 및 파이프라인 운송업",9312,28419,622257,32988,1926497,2708314,435182,6458474,9483,30273,709624,33239,1929834,2820677,497114,8097217,9389,27655,578480,36891,1728768,2606139,353325,8010962,9698,68129,2465776,40267,5720449,6126520,3290121,13053680,9605,51571,2155148,37093,5352228,5653022,2919858,13405426,9881,52200,2205147,38266,5787898,5902062,3208772,17248764,10472,50994,1962813,36965,5932943,5573206,3299422,17116089,10474,51570,2137313,37682,6354396,6103678,4447305,17687691,10588,51843,2210662,37772,6631534,6245491,4627816,17796910,10711,52418,2211959,37668,6386783,6668477,4058996,19989599,10946,53714,2455417,38138,6413714,6730068,3452578,21437332
"대전광역시","수상 운송업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,...,...,...,...,...,...,...,2,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,X,X,X,X,X,X,X
"대전광역시","항공 운송업",1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,X,X,X,X,X,X,X
"대전광역시","창고 및 운송관련 서비스업",379,2325,75698,291,1010314,902527,246317,7099468,319,2111,89504,1303,1003838,844816,314149,4012959,366,2541,91489,375,1095053,909305,347781,8909055,377,2383,104105,945,1371154,1049346,495665,5023424,346,2861,139211,941,1641273,1117847,779046,10270322,348,2504,111319,18,866131,532697,482444,6231704,347,2231,100842,20,928510,550458,531700,7150789,329,2282,110421,40,1037974,580646,620848,7669951,328,2538,121649,32,1143012,589424,749280,7164162,278,2325,130880,34,1325030,1370725,163208,7380386,276,2435,128716,24,1215405,1260766,161396,7522674
"울산광역시","육상운송 및 파이프라인 운송업",5840,16801,224131,15030,873626,733436,469032,305526,5993,16628,206500,14492,803938,699328,402601,254640,6050,16522,223226,13985,873719,753458,454819,288037,5993,16077,228543,14792,854442,773195,400578,263051,6009,17476,321181,14207,978982,848377,558489,346592,6165,16079,233658,14033,951671,801507,497330,309434,6331,16610,250513,14612,972646,853660,488351,378132,6313,17442,319593,15105,1193053,1052923,613154,414445,6083,16497,327113,14212,1132404,952480,636705,336404,6209,17788,383996,15445,1351827,1122644,752308,3677051,6756,19599,414600,16339,1314666,1208349,676222,3483540
"울산광역시","수상 운송업",31,698,22049,113,112096,102649,60286,68530,32,749,24566,129,144704,132807,74299,64713,35,826,26671,132,146778,134134,82724,78595,34,844,29905,113,193213,182692,87928,122258,28,734,25386,110,197178,188571,86905,108949,28,700,26557,117,192211,184626,83748,120548,27,657,27561,116,185197,179382,79067,106567,36,823,33619,137,167654,153390,99774,108900,30,634,30751,105,149732,142022,78291,106377,27,563,27803,83,140696,132305,74993,139730,26,558,26591,82,137754,132271,81657,134793
"울산광역시","항공 운송업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"울산광역시","창고 및 운송관련 서비스업",543,2440,60219,597,194454,158649,141170,311512,268,1940,55895,491,214387,166743,162658,368391,220,3480,55644,459,194993,151798,134728,558853,247,3565,61622,630,306966,261262,166762,570933,407,3380,94584,770,421014,364893,245635,699107,397,3682,87823,777,395006,316191,265844,958140,394,3749,92493,776,417974,328996,304504,951453,448,4522,116175,598,494011,422726,315214,1216879,469,3746,132902,588,615752,491111,384895,1294663,461,3808,143568,576,660397,534676,393874,1382353,457,4022,138221,567,790430,668469,383287,1200426
